beschreibung,alter,leistung,nutzung,schaltung,tank,co2,alles,verkaufer,ort,nation,price (euro),km,consumption (per 100km),brand,users
Mi Coupe xDRIVE * DRIVING ASSISTANT *  LIVE COCKPI,01/2022,275 kW (374 hp),Used,Automatic,Gasoline,186 g/km (comb.),"BMW 240 Mi Coupe xDRIVE * DRIVING ASSISTANT *  LIVE COCKPI€ 54,990.-15,100 km01/2022275 kW (374 hp)Used3 previous ownersAutomaticGasoline8.2 l/100 km186 g/km (comb.)",Auto Seubert GmbH,Bernhard Seubert • DE-94315 Straubing,deutschland,54990,15100,8.2,BMW,3
333PS 4Matic AMG Pano 360 Fond ACC TV,03/2018,245 kW (333 hp),Used,Automatic,Gasoline,212 g/km (comb.),"Mercedes-Benz GLS 400 333PS 4Matic AMG Pano 360 Fond ACC TV€ 74,999.-48,882 km03/2018245 kW (333 hp)Used- (Previous Owners)AutomaticGasoline9.2 l/100 km (comb.)212 g/km (comb.)",Autohaus Klann GmbH,Vertrieb Gebrauchtwagen • DE-14513 Teltow,deutschland,74999,48882,9.2,Mercedes-Benz,0
AD'VANTAGE *Matrix-LED*Navi*,11/2020,107 kW (145 hp),Used,Automatic,Electric,0 g/km (comb.),"Mazda MX-30 AD'VANTAGE *Matrix-LED*Navi*€ 26,890.-16,213 km11/2020107 kW (145 hp)Used1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)17.3 kWh/100 km (comb.)",Bonnermann & Hüls GmbH,Jörg Block • DE-45527 Hattingen Welper,deutschland,26890,16213,,Mazda,1
2.0 TDI DSG HIGHLINE / 7-SITZE+LEDER,02/2015,132 kW (179 hp),Used,Automatic,Diesel,0 g/km (comb.),"PreviousNext1 / 23Volkswagen T5 Multivan 2.0 TDI DSG HIGHLINE / 7-SITZE+LEDERAdd to listShare€ 29,700.-158,000 km02/2015132 kW (179 hp)Used- (Previous Owners)AutomaticDiesel- (l/100 km)0 g/km (comb.)",AUTOHAUS EXCELLENCE CARS GmbH & Co. KG,Ihr Verkaufsteam • DE-59077 Hamm,deutschland,29700,158000,,Volkswagen,0
3.0 TDI quattro S line Night/Leder/Pano/ACC/H,08/2016,200 kW (272 hp),Used,Automatic,Diesel,154 g/km (comb.),"PreviousNext1 / 20Audi Q7 3.0 TDI quattro S line Night/Leder/Pano/ACC/H€ 34,800.-280,000 km08/2016200 kW (272 hp)Used- (Previous Owners)AutomaticDiesel5.9 l/100 km (comb.)154 g/km (comb.)",Autohaus Wenden GmbH,DE-38110 Braunschweig,deutschland,34800,280000,5.9,Audi,0
/ 1 Hd/ Rentner/Sammlerzustand,06/1998,125 kW (170 hp),Used,Automatic,Gasoline,- (g/km),"Mercedes-Benz E 240 / 1 Hd/ Rentner/Sammlerzustand€ 7,490.-98,487 km06/1998125 kW (170 hp)Used1 previous ownerAutomaticGasoline- (l/100 km)- (g/km)",Hauck Automobile GmbH,Fatih Yildiz • DE-67098 Bad Duerkheim,deutschland,7490,98487,,Mercedes-Benz,1
"VZ TSI DSG 4D 19"" Navi Pano. Leder AHK",07/2021,228 kW (310 hp),Used,Automatic,Gasoline,- (g/km),"Cupra Formentor VZ TSI DSG 4D 19"" Navi Pano. Leder AHK€ 39,980.-17,190 km07/2021228 kW (310 hp)Used1 previous ownerAutomaticGasoline- (l/100 km)- (g/km)",Feser-Graf Cadolzburg,Ihr Verkaufsteam • DE-90556 Cadolzburg,deutschland,39980,17190,,Cupra,1
Sportcoupe Kompr ./33 TKM/PDC+/TEM/,03/2004,120 kW (163 hp),Used,Automatic,Gasoline,219 g/km (comb.),"Mercedes-Benz CL 200 Sportcoupe Kompr ./33 TKM/PDC+/TEM/€ 9,490.-33,282 km03/2004120 kW (163 hp)Used2 previous ownersAutomaticGasoline9.1 l/100 km (comb.)219 g/km (comb.)",Hauck Automobile GmbH,Fatih Yildiz • DE-67098 Bad Duerkheim,deutschland,9490,33282,9.1,Mercedes-Benz,2
2.0 LTZ Aut Leder Cam GSD Navi AHK,06/2013,120 kW (163 hp),Used,Automatic,Diesel,159 g/km (comb.),"Chevrolet Orlando 2.0 LTZ Aut Leder Cam GSD Navi AHK€ 13,790.-88,368 km06/2013120 kW (163 hp)Used2 previous ownersAutomaticDiesel6 l/100 km (comb.)159 g/km (comb.)",WhiteStone Autohaus GmbH,Funda Aktas • DE-12107 Berlin,deutschland,13790,88368,6,Chevrolet,2
quattro 3.0 TDI +NAVI+KAMERA+ACC+AHK,02/2015,235 kW (320 hp),Used,Automatic,Diesel,172 g/km (comb.),"Audi A6 allroad quattro 3.0 TDI +NAVI+KAMERA+ACC+AHK€ 33,990.-80,000 km02/2015235 kW (320 hp)Used- (Previous Owners)AutomaticDiesel6.5 l/100 km (comb.)172 g/km (comb.)",Automobile Trier,V. Martaler • DE-54340 Bekond,deutschland,33990,80000,6.5,Audi,0
e Progressive Navi Premium Park+Kamera LED,09/2020,118 kW (160 hp),Used,Automatic,Electric/Gasoline,- (g/km),"Mercedes-Benz A 250 e Progressive Navi Premium Park+Kamera LED€ 31,950.-32,857 km09/2020118 kW (160 hp)Used1 previous ownerAutomaticElectric/Gasoline14.6 kWh/100 km (comb.)- (g/km)14.6 kWh/100 km (comb.)",Emil Frey Mainfranken GmbH,Internet-Vertriebs Team • DE-97076 Würzburg,deutschland,31950,32857,,Mercedes-Benz,1
Titanium*NAVI*PANO*CAM*LEDER*SHZ*7-Sitzer,05/2011,120 kW (163 hp),Used,Automatic,Diesel,159 g/km (comb.),"Ford Galaxy Titanium*NAVI*PANO*CAM*LEDER*SHZ*7-Sitzer€ 11,990.-247,000 km05/2011120 kW (163 hp)Used2 previous ownersAutomaticDiesel6 l/100 km (comb.)159 g/km (comb.)",Royal Cars GmbH,Hamid Walizada • DE-22111 Hamburg,deutschland,11990,247000,6,Ford,2
Kamera PDC S/S Standheizung Bluetooth,08/2013,120 kW (163 hp),Used,Manual,Diesel,189 g/km (comb.),"Volkswagen Crafter Kamera PDC S/S Standheizung Bluetooth€ 14,770.-320,000 km08/2013120 kW (163 hp)Used3 previous ownersManualDiesel7.2 l/100 km (comb.)189 g/km (comb.)",Dabag Deutsche Automobilberatung GmbH,Ronald Walter • DE-06861 Dessau-Roßlau,deutschland,14770,320000,7.2,Volkswagen,3
1.5 D Elegance *Keyless*Navi*PDC*,09/2022,96 kW (131 hp),Demonstration,Manual,Diesel,149 g/km (comb.),"Opel Combo Life 1.5 D Elegance *Keyless*Navi*PDC*€ 29,889.-4,990 km09/202296 kW (131 hp)Demonstration1 previous ownerManualDiesel5.7 l/100 km149 g/km (comb.)",Autohaus Haeberlen GmbH,Manfred Binzer • DE-87435 Kempten,deutschland,29889,4990,5.7,Opel,1
sDrive35i Leder Navi Prof. Xenon PDC Aut.SHZ,04/2011,225 kW (306 hp),Used,Automatic,Gasoline,210 g/km (comb.),"BMW Z4 sDrive35i Leder Navi Prof. Xenon PDC Aut.SHZ€ 26,700.-83,070 km04/2011225 kW (306 hp)Used- (Previous Owners)AutomaticGasoline8.5 l/100 km (comb.)210 g/km (comb.)",Autohaus Weidenweg GmbH,Christian Mahn • DE-47058 Duisburg,deutschland,26700,83070,8.5,BMW,0
JDM Abaca Mountain SUV Mopedauto Microcar 45 KM,04/2008,4 kW (5 hp),Used,Automatic,Diesel,- (g/km),"Others JDM Abaca Mountain SUV Mopedauto Microcar 45 KM€ 3,950.-18,861 km04/20084 kW (5 hp)Used- (Previous Owners)AutomaticDiesel- (l/100 km)- (g/km)",Rensing Autos,A. Rensing • DE-48691 Vreden,deutschland,3950,18861,,Others,0
Coupé M Performance+M Driver's Package / HiFi,06/2017,272 kW (370 hp),Used,Automatic,Gasoline,201 g/km (comb.),"BMW M2 Coupé M Performance+M Driver's Package / HiFi€ 43,690.-68,347 km06/2017272 kW (370 hp)Used2 previous ownersAutomaticGasoline8.5 l/100 km (comb.)201 g/km (comb.)",Markus Kraska Automobile,Josef Enzensperger • DE-87656 Germaringen,deutschland,43690,68347,8.5,BMW,2
"2.0 e-SKYACTIV-G M-Hybrid 150 110 kW (150 PS), ...",- (First Registration),110 kW (150 hp),New,Manual,Gasoline,116 g/km (comb.),"Mazda 3 2.0 e-SKYACTIV-G M-Hybrid 150 110 kW (150 PS), ...€ 23,575.-1 km- (First Registration)110 kW (150 hp)New- (Previous Owners)ManualGasoline5.1 l/100 km (comb.)116 g/km (comb.)",ReStart-AUTO,Erich F. Schulz • DE-72667 Schlaitdorf,deutschland,23575,1,5.1,Mazda,0
C Style 2.0 CDTi Autom. ~ 7-Sitzer,01/2015,121 kW (165 hp),Used,Automatic,Diesel,140 g/km (comb.),"Opel Zafira Tourer C Style 2.0 CDTi Autom. ~ 7-Sitzer€ 5,990.-395,000 km01/2015121 kW (165 hp)Used1 previous ownerAutomaticDiesel5.3 l/100 km (comb.)140 g/km (comb.)",Autohaus Sandir,Ali Sandir • DE-85521 Ottobrunn / Riemerling,deutschland,5990,395000,5.3,Opel,1
Linje Classic D3 BI-XENON+ NAVI+ TOP ZUSTAND,10/2015,110 kW (150 hp),Used,Automatic,Diesel,109 g/km (comb.),"Volvo V70 Linje Classic D3 BI-XENON+ NAVI+ TOP ZUSTAND€ 10,490.-265,050 km10/2015110 kW (150 hp)Used1 previous ownerAutomaticDiesel4.1 l/100 km (comb.)109 g/km (comb.)",Automobile Ataei GmbH,Edris Ataei • DE-41066 Mönchengladbach,deutschland,10490,265050,4.1,Volvo,1
Comfortline Navi+Klima+Isofix+AUX,06/2011,77 kW (105 hp),Used,Manual,Gasoline,134 g/km (comb.),"Volkswagen Jetta Comfortline Navi+Klima+Isofix+AUX€ 6,480.-150,000 km06/201177 kW (105 hp)Used- (Previous Owners)ManualGasoline5.7 l/100 km (comb.)134 g/km (comb.)",Autohaus Aslan GmbH,Metin Aslan • DE-47249 Duisburg,deutschland,6480,150000,5.7,Volkswagen,0
Long Range AWD Leder Schwarz Autopilot,12/2021,366 kW (498 hp),Used,Automatic,Electric,0 g/km (comb.),"Tesla Model 3 Long Range AWD Leder Schwarz Autopilot€ 49,480.-6,905 km12/2021366 kW (498 hp)Used1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)16 kWh/100 km (comb.)",Autohaus Stauner GmbH,Andreas Gogol • DE-93333 Neustadt a. d. Donau,deutschland,49480,6905,,Tesla,1
"1.5 TSI 110kW 110 kW (150 PS), Schalt. 6-Gang, ...",- (First Registration),110 kW (150 hp),New,Manual,Gasoline,123 g/km (comb.),"Cupra Formentor 1.5 TSI 110kW 110 kW (150 PS), Schalt. 6-Gang, ...€ 28,366.-1 km- (First Registration)110 kW (150 hp)New- (Previous Owners)ManualGasoline5.4 l/100 km (comb.)123 g/km (comb.)",ReStart-AUTO,Erich F. Schulz • DE-72667 Schlaitdorf,deutschland,28366,1,5.4,Cupra,0
"ALL4,NAVI,PANORAMADACH,LED,EL.HECKKLAPPE,HEAD-UP",10/2019,100 kW (136 hp),Used,Automatic,Electric/Gasoline,55 g/km (comb.),"PreviousNext1 / 24MINI Cooper SE Countryman ALL4,NAVI,PANORAMADACH,LED,EL.HECKKLAPPE,HEAD-UPAdd to listShare€ 31,480.-45,500 km10/2019100 kW (136 hp)Used1 previous ownerAutomaticElectric/Gasoline2.4 l/100 km (comb.)55 g/km (comb.)",Autohaus Louis Dresen GmbH,Ihr Verkaufsteam • DE-47805 Krefeld,deutschland,31480,45500,2.4,MINI,1
Avant quattro S-Line Aut. Klima,10/2010,176 kW (239 hp),Used,Automatic,Diesel,189 g/km (comb.),"PreviousNext1 / 23Audi A4 Avant quattro S-Line Aut. Klima€ 8,898.-260,000 km10/2010176 kW (239 hp)Used5 previous ownersAutomaticDiesel7.1 l/100 km (comb.)189 g/km (comb.)",ADL Autodienstleistungen GmbH,Ugur Sevim • DE-81243 München,deutschland,8898,260000,7.1,Audi,5
Life LED+SHZ+ACC+PDC+Virtual Cockpit,- (First Registration),96 kW (131 hp),New,Manual,Gasoline,121 g/km (comb.),"Volkswagen Golf Life LED+SHZ+ACC+PDC+Virtual Cockpit€ 25,190.-10 km- (First Registration)96 kW (131 hp)New- (Previous Owners)ManualGasoline5.4 l/100 km (comb.)121 g/km (comb.)",take-your-car GmbH,"Monique Huynh & Stüven, Schael, Bürckholz • DE-21244 Buchholz in der Nordheide",deutschland,25190,10,5.4,Volkswagen,0
"2.0 TSI 140kW 4Drive DSG 140 kW (190 PS), Doppe...",- (First Registration),140 kW (190 hp),New,Automatic,Gasoline,157 g/km (comb.),"Cupra Formentor 2.0 TSI 140kW 4Drive DSG 140 kW (190 PS), Doppe...€ 32,687.-1 km- (First Registration)140 kW (190 hp)New- (Previous Owners)AutomaticGasoline6.9 l/100 km (comb.)157 g/km (comb.)",ReStart-AUTO,Erich F. Schulz • DE-72667 Schlaitdorf,deutschland,32687,1,6.9,Cupra,0
e Style MBUX-Premium LED AHK,05/2020,118 kW (160 hp),Used,Automatic,Electric/Gasoline,- (g/km),"Mercedes-Benz A 250 e Style MBUX-Premium LED AHK€ 32,655.-20,919 km05/2020118 kW (160 hp)Used1 previous ownerAutomaticElectric/Gasoline14.6 kWh/100 km (comb.)- (g/km)14.6 kWh/100 km (comb.)",Emil Frey Mainfranken GmbH,Internet-Vertriebs Team • DE-97424 Schweinfurt,deutschland,32655,20919,,Mercedes-Benz,1
1.6 Ltr. City *3-Türer*nur 23550 KM*ALLRAD*KLIMA*A,12/2013,78 kW (106 hp),Used,Manual,Gasoline,210 g/km (comb.),"Suzuki Grand Vitara 1.6 Ltr. City *3-Türer*nur 23550 KM*ALLRAD*KLIMA*A€ 14,450.-23,550 km12/201378 kW (106 hp)Used2 previous ownersManualGasoline8.7 l/100 km (comb.)210 g/km (comb.)",Lackas Rhein-Ruhr GmbH,Ismail Topal • DE-47055 Duisburg,deutschland,14450,23550,8.7,Suzuki,2
Plug-In Hybrid TITANIUM PHEV SUPER SPARSAM,05/2020,165 kW (224 hp),Used,Automatic,Electric/Gasoline,- (g/km),"Ford Kuga Plug-In Hybrid TITANIUM PHEV SUPER SPARSAM€ 31,777.-35,000 km05/2020165 kW (224 hp)Used1 previous ownerAutomaticElectric/Gasoline- (l/100 km)- (g/km)",AUTOHAUS EXCELLENCE CARS GmbH & Co. KG,Ihr Verkaufsteam • DE-59077 Hamm,deutschland,31777,35000,,Ford,1
IV Lim. Edition* 1. Hand* Klima* Alu,10/2003,74 kW (101 hp),Used,Manual,Diesel,138 g/km (comb.),"Volkswagen Golf IV Lim. Edition* 1. Hand* Klima* Alu€ 1,990.-223,000 km10/200374 kW (101 hp)Used1 previous ownerManualDiesel5.2 l/100 km (comb.)138 g/km (comb.)",Fa. Weigert Thomas,Thomas Weigert • DE-97230 Estenfeld,deutschland,1990,223000,5.2,Volkswagen,1
3x S-line sport/Memo/Pano/Tempo/Kam/Vollleder,04/2018,140 kW (190 hp),Used,Automatic,Gasoline,126 g/km (comb.),"Audi A5 3x S-line sport/Memo/Pano/Tempo/Kam/Vollleder€ 34,990.-22,217 km04/2018140 kW (190 hp)Used- (Previous Owners)AutomaticGasoline5.5 l/100 km (comb.)126 g/km (comb.)",Autohaus Twardowski,Omar Kassas • DE-41844 Wegberg,deutschland,34990,22217,5.5,Audi,0
"150, ACC, Wärmepumpe, Keyless",12/2022,150 kW (204 hp),Used,Automatic,Electric,0 g/km (comb.),"Cupra Born 150, ACC, Wärmepumpe, Keyless€ 39,999.-4,850 km12/2022150 kW (204 hp)Used1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)",Auto Galerie HERFORD GmbH,Uwe Stockhaus • DE-32052 HERFORD,deutschland,39999,4850,,Cupra,1
"Life 1.5 TSI OPF 110 kW (150 PS), Schalt. 6-Gan...",- (First Registration),110 kW (150 hp),New,Manual,Gasoline,120 g/km (comb.),"Volkswagen T-Roc Life 1.5 TSI OPF 110 kW (150 PS), Schalt. 6-Gan...€ 25,771.-1 km- (First Registration)110 kW (150 hp)New- (Previous Owners)ManualGasoline5.3 l/100 km (comb.)120 g/km (comb.)",ReStart-AUTO,Erich F. Schulz • DE-72667 Schlaitdorf,deutschland,25771,1,5.3,Volkswagen,0
RS 2.3 EB AWD Xenon+NAV+ParkPilot+Sitzhzg Klima,03/2017,257 kW (349 hp),Used,Manual,Gasoline,175 g/km (comb.),"Ford Focus RS 2.3 EB AWD Xenon+NAV+ParkPilot+Sitzhzg Klima€ 36,890.-15,000 km03/2017257 kW (349 hp)Used2 previous ownersManualGasoline7.7 l/100 km (comb.)175 g/km (comb.)",König am Hessenring GmbH & Co. KG,König am Hessenring • DE-37269 Eschwege,deutschland,36890,15000,7.7,Ford,2
xDrive40d M Sport 22Zoll AHK ACC+ 360°Cam,09/2020,250 kW (340 hp),Demonstration,Automatic,Diesel,167 g/km (comb.),"BMW X5 xDrive40d M Sport 22Zoll AHK ACC+ 360°Cam€ 77,689.-65,400 km09/2020250 kW (340 hp)Demonstration1 previous ownerAutomaticDiesel6.4 l/100 km (comb.)167 g/km (comb.)",BayernCar GmbH,Verkaufsteam BayernCar • DE-86343 Königsbrunn,deutschland,77689,65400,6.4,BMW,1
"Ocean *Navi*ACC*Kamera* (o511) 110 kW (150 PS),...",05/2021,110 kW (150 hp),Used,Automatic,Diesel,161 g/km (comb.),"Volkswagen T6 California Ocean *Navi*ACC*Kamera* (o511) 110 kW (150 PS),...€ 66,000.-46,064 km05/2021110 kW (150 hp)Used1 previous ownerAutomaticDiesel6.1 l/100 km (comb.)161 g/km (comb.)",roadsurfer GmbH,Tom Loose • DE-13405 Berlin,deutschland,66000,46064,6.1,Volkswagen,1
2018 SKYACTIV-G 194 AT FWD Al-Signature Klima SHZ,09/2018,143 kW (194 hp),Used,Automatic,Gasoline,161 g/km (comb.),"Mazda CX-5 2018 SKYACTIV-G 194 AT FWD Al-Signature Klima SHZ€ 26,490.-27,502 km09/2018143 kW (194 hp)Used1 previous ownerAutomaticGasoline7.1 l/100 km (comb.)161 g/km (comb.)",Autohaus Rottmann GmbH,Marc Rottmann • DE-46244 Bottrop-Kirchhellen,deutschland,26490,27502,7.1,Mazda,1
3.0 V6 EXECUTIVE/Xenon/Leder/PDC/,06/2000,155 kW (211 hp),Used,Automatic,Gasoline,251 g/km (comb.),"Opel Omega 3.0 V6 EXECUTIVE/Xenon/Leder/PDC/€ 7,490.-82,522 km06/2000155 kW (211 hp)Used2 previous ownersAutomaticGasoline10.4 l/100 km (comb.)251 g/km (comb.)",Hauck Automobile GmbH,Fatih Yildiz • DE-67098 Bad Duerkheim,deutschland,7490,82522,10.4,Opel,2
D350 Autobiography PANO MERIDIAN SOFT 360°,- (First Registration),258 kW (351 hp),New,Automatic,Diesel,210 g/km (comb.),"Land Rover Range Rover D350 Autobiography PANO MERIDIAN SOFT 360°€ 269,900.-50 km- (First Registration)258 kW (351 hp)New- (Previous Owners)AutomaticDiesel8 l/100 km (comb.)210 g/km (comb.)",Areacars exclusive,Cengizhan Demircioglu • DE-10625 Berlin,deutschland,269900,50,8,Land,0
"Clubman ALL4 Head-Up*Pano*19""* Clubman",11/2019,225 kW (306 hp),Used,Automatic,Gasoline,161 g/km (comb.),"MINI John Cooper Works Clubman ALL4 Head-Up*Pano*19""* Clubman€ 34,890.-36,050 km11/2019225 kW (306 hp)Used- (Previous Owners)AutomaticGasoline7.1 l/100 km (comb.)161 g/km (comb.)",Nord-Automobile,DE-26180 Rastede/ Wahnbek,deutschland,34890,36050,7.1,MINI,0
2.0 TDI Quattro/Assis+/PDC+/TSGS/TEM/S-Line,10/2014,140 kW (190 hp),Used,Automatic,Diesel,151 g/km (comb.),"Audi Q5 2.0 TDI Quattro/Assis+/PDC+/TSGS/TEM/S-Line€ 19,850.-183,948 km10/2014140 kW (190 hp)Used2 previous ownersAutomaticDiesel5.7 l/100 km (comb.)151 g/km (comb.)",Hauck Automobile GmbH,Fatih Yildiz • DE-67098 Bad Duerkheim,deutschland,19850,183948,5.7,Audi,2
3.0 TDI quattro S line Night/Leder/Pano/ACC/H,08/2016,200 kW (272 hp),Used,Automatic,Diesel,154 g/km (comb.),"Audi Q7 3.0 TDI quattro S line Night/Leder/Pano/ACC/H€ 34,800.-280,000 km08/2016200 kW (272 hp)Used- (Previous Owners)AutomaticDiesel5.9 l/100 km (comb.)154 g/km (comb.)",Autohaus Wenden GmbH,DE-38110 Braunschweig,deutschland,34800,280000,5.9,Audi,0
de AMG MULTIB+SH-DACH+DISTRO+COMAND+KAMERA,03/2020,143 kW (194 hp),Demonstration,Automatic,Electric/Diesel,41 g/km (comb.),"PreviousNext1 / 32Mercedes-Benz E 300 de AMG MULTIB+SH-DACH+DISTRO+COMAND+KAMERAAdd to listShare€ 48,990.-27,799 km03/2020143 kW (194 hp)Demonstration2 previous ownersAutomaticElectric/Diesel1.5 l/100 km (comb.)41 g/km (comb.)",Kestenholz GmbH,Sascha Vollmer • DE-79111 Freiburg,deutschland,48990,27799,1.5,Mercedes-Benz,2
1.5  Sport Plus Automatik* Panoramadach*,12/2017,134 kW (182 hp),Used,Automatic,Gasoline,139 g/km (comb.),"PreviousNext1 / 18Honda Civic 1.5  Sport Plus Automatik* Panoramadach*€ 19,890.-97,600 km12/2017134 kW (182 hp)Used4 previous ownersAutomaticGasoline6.1 l/100 km (comb.)139 g/km (comb.)",Autohaus Albert Still GmbH,DE-86156 Augsburg,deutschland,19890,97600,6.1,Honda,4
"VII GTD 2.0 TDI PANO,LED,KAMERA,SH",04/2016,135 kW (184 hp),Used,Automatic,Diesel,125 g/km (comb.),"Volkswagen Golf Variant VII GTD 2.0 TDI PANO,LED,KAMERA,SH€ 17,480.-98,500 km04/2016135 kW (184 hp)Used- (Previous Owners)AutomaticDiesel4.8 l/100 km (comb.)125 g/km (comb.)",Autohaus Royal GmbH,Verkaufsteam Schönefeld • DE-12529 Schönefeld,deutschland,17480,98500,4.8,Volkswagen,0
"EXCLUSIV MULTIBEAM,360GRAD,SPURPAKET,SH",04/2016,135 kW (184 hp),Used,Automatic,Gasoline,149 g/km (comb.),"Mercedes-Benz E 200 EXCLUSIV MULTIBEAM,360GRAD,SPURPAKET,SH€ 27,780.-50,000 km04/2016135 kW (184 hp)Used- (Previous Owners)AutomaticGasoline6.5 l/100 km (comb.)149 g/km (comb.)",Autohaus Royal GmbH,Autohaus Royal GmbH Verkaufsteam • DE-12103 Berlin,deutschland,27780,50000,6.5,Mercedes-Benz,0
2.0 TDI 4Drive Style*LED*Alcantara*SHZ,03/2017,110 kW (150 hp),Used,Manual,Diesel,129 g/km (comb.),"SEAT Ateca 2.0 TDI 4Drive Style*LED*Alcantara*SHZ€ 17,880.-111,100 km03/2017110 kW (150 hp)Used- (Previous Owners)ManualDiesel5.1 l/100 km (comb.)129 g/km (comb.)",Emil Frey Schwabengarage,Ihr Verkaufsteam • DE-74523 Schwaebisch Hall,deutschland,17880,111100,5.1,SEAT,0
ST-Line 1.5 NAVI+HEAD-UP+ACC+SHZ+SPURHALTE,07/2019,134 kW (182 hp),Used,Manual,Gasoline,145 g/km (comb.),"Ford Focus ST-Line 1.5 NAVI+HEAD-UP+ACC+SHZ+SPURHALTE€ 20,980.-30,000 km07/2019134 kW (182 hp)Used1 previous ownerManualGasoline5.5 l/100 km (comb.)145 g/km (comb.)",Autec Automobil GmbH,Dirk Mertens • DE-42329 Wuppertal,deutschland,20980,30000,5.5,Ford,1
FR 1.4TSI e-Hybrid DSG LED RearView FULL-LINK,12/2020,150 kW (204 hp),Used,Automatic,Electric/Gasoline,- (g/km),"SEAT Leon FR 1.4TSI e-Hybrid DSG LED RearView FULL-LINK€ 27,580.-29,950 km12/2020150 kW (204 hp)Used1 previous ownerAutomaticElectric/Gasoline- (l/100 km)- (g/km)",Auto Zentrum Nürnberg Feser GmbH,Ihr Verkaufsteam Nürnberg • DE-90441 Nürnberg,deutschland,27580,29950,,SEAT,1
1.6 TDCI / 7-SITZE / NAVI-PLUS / TEMPOMAT,09/2011,85 kW (116 hp),Used,Manual,Diesel,0 g/km (comb.),"Ford Galaxy 1.6 TDCI / 7-SITZE / NAVI-PLUS / TEMPOMAT€ 6,700.-270,000 km09/201185 kW (116 hp)Used- (Previous Owners)ManualDiesel- (l/100 km)0 g/km (comb.)",AUTOHAUS EXCELLENCE CARS GmbH & Co. KG,Ihr Verkaufsteam • DE-59077 Hamm,deutschland,6700,270000,,Ford,0
EX* Klima* LPG* 8 fach Alu* AHK*,07/2010,104 kW (141 hp),Used,Manual,LPG,190 g/km (comb.),"Kia Sportage EX* Klima* LPG* 8 fach Alu* AHK*€ 8,990.-107,667 km07/2010104 kW (141 hp)Used1 previous ownerManualLPG8 l/100 km (comb.)190 g/km (comb.)",Fa. Weigert Thomas,Thomas Weigert • DE-97230 Estenfeld,deutschland,8990,107667,8,Kia,1
Premium Hybrid Topausstattung!,04/2019,225 kW (306 hp),Used,Automatic,Electric/Gasoline,181 g/km (comb.),"Infiniti Q50 Premium Hybrid Topausstattung!€ 32,990.-41,100 km04/2019225 kW (306 hp)Used1 previous ownerAutomaticElectric/Gasoline7.9 l/100 km (comb.)181 g/km (comb.)",Schloßgarage WILLE GmbH,Fritz Gerdemann • DE-48249 Dülmen,deutschland,32990,41100,7.9,Infiniti,1
2.4/7-SITZER/AHK/MFL/PDC/KLIMA/TEMPOMAT,06/2011,123 kW (167 hp),Used,Manual,Gasoline,211 g/km (comb.),"Chevrolet Captiva 2.4/7-SITZER/AHK/MFL/PDC/KLIMA/TEMPOMAT€ 10,490.-99,500 km06/2011123 kW (167 hp)Used2 previous ownersManualGasoline8.9 l/100 km (comb.)211 g/km (comb.)",Rein-Cars,Selim Wahid • DE-13088 Berlin,deutschland,10490,99500,8.9,Chevrolet,2
xDrive40d MSport 22Zoll AHK Standheiz B&W ACC,07/2021,250 kW (340 hp),Demonstration,Automatic,Diesel,170 g/km (comb.),"BMW X6 xDrive40d MSport 22Zoll AHK Standheiz B&W ACC€ 96,989.-24,450 km07/2021250 kW (340 hp)Demonstration1 previous ownerAutomaticDiesel6.5 l/100 km (comb.)170 g/km (comb.)",BayernCar GmbH,Verkaufsteam BayernCar • DE-86343 Königsbrunn,deutschland,96989,24450,6.5,BMW,1
E-PACE R-Dynamic HSE P300 AWD Pano*HeadUp*Matrix,10/2018,221 kW (300 hp),Used,Automatic,Gasoline,181 g/km (comb.),"Jaguar E-Pace E-PACE R-Dynamic HSE P300 AWD Pano*HeadUp*Matrix€ 34,680.-79,501 km10/2018221 kW (300 hp)Used1 previous ownerAutomaticGasoline8 l/100 km (comb.)181 g/km (comb.)",C.E.Motors GmbH & Co.KG,Alexander Schuldeis • DE-53489 Sinzig,deutschland,34680,79501,8,Jaguar,1
Titanium 210PS +AHK+Leder+PPS+uvm.,04/2017,154 kW (209 hp),Used,Automatic,Diesel,144 g/km (comb.),"Ford Galaxy Titanium 210PS +AHK+Leder+PPS+uvm.€ 25,990.-67,331 km04/2017154 kW (209 hp)Used1 previous ownerAutomaticDiesel5.5 l/100 km (comb.)144 g/km (comb.)",Hermann Hüwels GmbH & Co. KG,alle Verkaufsberater • DE-46145 Oberhausen,deutschland,25990,67331,5.5,Ford,1
e 9G AMG*Pano*HUD*Distr*Digital-Light*AHK*,11/2022,150 kW (204 hp),Demonstration,Automatic,Electric/Gasoline,- (g/km),"Mercedes-Benz C 300 e 9G AMG*Pano*HUD*Distr*Digital-Light*AHK*€ 69,490.-9,900 km11/2022150 kW (204 hp)Demonstration1 previous ownerAutomaticElectric/Gasoline19.7 kWh/100 km (comb.)- (g/km)19.7 kWh/100 km (comb.)",Emil Frey Mainfranken GmbH,Internet-Vertriebs Team • DE-97424 Schweinfurt,deutschland,69490,9900,,Mercedes-Benz,1
